player,club,nationality,position,touches
Jefferson Lerma,AFC Bournemouth,Colombia,MID,"2,005"
Ryan Fraser,AFC Bournemouth,Scotland,MID,"1,894"
David Brooks,AFC Bournemouth,Wales,MID,"1,343"
Dan Gosling,AFC Bournemouth,England,MID,"1,274"
Andrew Surman,AFC Bournemouth,England,MID,990
Junior Stanislas,AFC Bournemouth,England,MID,714
Lewis Cook,AFC Bournemouth,England,MID,504
Jordon Ibe,AFC Bournemouth,England,MID,437
Emerson Hyndman,AFC Bournemouth,United States,MID,34
Granit Xhaka,Arsenal,Switzerland,MID,"2,784"
Lucas Torreira,Arsenal,Uruguay,MID,"2,056"
Matteo Guendouzi,Arsenal,France,MID,"1,965"
Alex Iwobi,Arsenal,Nigeria,MID,"1,415"
Mesut Özil,Arsenal,Germany,MID,"1,384"
Henrikh Mkhitaryan,Arsenal,Armenia,MID,"1,197"
Aaron Ramsey,Arsenal,Wales,MID,"1,029"
Ainsley Maitland-Niles,Arsenal,England,MID,782
Mohamed Elneny,Arsenal,Egypt,MID,341
Denis Suárez,Arsenal,Spain,MID,59
Joe Willock,Arsenal,England,MID,31
Dale Stephens,Brighton and Hove Albion,England,MID,"1,709"
Davy Pröpper,Brighton and Hove Albion,Netherlands,MID,"1,632"
Solly March,Brighton and Hove Albion,England,MID,"1,413"
Pascal Groß,Brighton and Hove Albion,Germany,MID,"1,195"
Yves Bissouma,Brighton and Hove Albion,Mali,MID,"1,140"
Anthony Knockaert,Brighton and Hove Albion,France,MID,"1,060"
Beram Kayal,Brighton and Hove Albion,Israel,MID,445
Ashley Westwood,Burnley,England,MID,"1,867"
Jack Cork,Burnley,England,MID,"1,788"
Jeff Hendrick,Burnley,Ireland,MID,946
Johann Gudmundsson,Burnley,Iceland,MID,940
Aaron Lennon,Burnley,England,MID,472
Robbie Brady,Burnley,Ireland,MID,404
Steven Defour,Burnley,Belgium,MID,298
Víctor Camarasa,Cardiff City,Spain,MID,"1,426"
Aron Gunnarsson,Cardiff City,Iceland,MID,"1,254"
Joe Ralls,Cardiff City,England,MID,"1,098"
Harry Arter,Cardiff City,Ireland,MID,920
Josh Murphy,Cardiff City,England,MID,809
Bobby De Cordova-Reid,Cardiff City,England,MID,541
Leandro Bacuna,Cardiff City,Curacao,MID,254
Kadeem Harris,Cardiff City,England,MID,186
Loïc Damour,Cardiff City,France,MID,15
Jorginho,Chelsea,Italy,MID,"3,551"
N'Golo Kanté,Chelsea,France,MID,"2,562"
Mateo Kovacic,Chelsea,Croatia,MID,"1,812"
Ross Barkley,Chelsea,England,MID,"1,194"
Ruben Loftus-Cheek,Chelsea,England,MID,874
Cesc Fàbregas,Chelsea,Spain,MID,223
Victor Moses,Chelsea,Nigeria,MID,21
Luka Milivojevic,Crystal Palace,Serbia,MID,"2,718"
Aaron Wan-Bissaka,Crystal Palace,England,MID,"2,286"
James McArthur,Crystal Palace,Scotland,MID,"1,987"
Andros Townsend,Crystal Palace,England,MID,"1,848"
Cheikhou Kouyaté,Crystal Palace,Senegal,MID,"1,082"
Max Meyer,Crystal Palace,Germany,MID,935
Bakary Sako,Crystal Palace,Mali,MID,20
Jason Puncheon,Crystal Palace,England,MID,14
Luke Dreher,Crystal Palace,England,MID,3
Idrissa Gueye,Everton,Senegal,MID,"2,287"
Gylfi Sigurdsson,Everton,Iceland,MID,"1,717"
André Gomes,Everton,Portugal,MID,"1,563"
Bernard,Everton,Brazil,MID,"1,298"
Tom Davies,Everton,England,MID,682
Morgan Schneiderlin,Everton,France,MID,673
James McCarthy,Everton,Ireland,MID,10
