player,club,nationality,position,minutesPlayed
Nathan Aké,AFC Bournemouth,Netherlands,DEF,"3,412"
Steve Cook,AFC Bournemouth,England,DEF,"2,787"
Adam Smith,AFC Bournemouth,England,DEF,"2,072"
Charlie Daniels,AFC Bournemouth,England,DEF,"1,585"
Simon Francis,AFC Bournemouth,England,DEF,"1,227"
Nathaniel Clyne,AFC Bournemouth,England,DEF,"1,145"
Chris Mepham,AFC Bournemouth,Wales,DEF,850
Diego Rico,AFC Bournemouth,Spain,DEF,607
Jack Simpson,AFC Bournemouth,England,DEF,403
Tyrone Mings,AFC Bournemouth,England,DEF,142
Shkodran Mustafi,Arsenal,Germany,DEF,"2,615"
Sokratis,Arsenal,Greece,DEF,"2,199"
Sead Kolasinac,Arsenal,Bosnia And Herzegovina,DEF,"1,890"
Nacho Monreal,Arsenal,Spain,DEF,"1,861"
Héctor Bellerín,Arsenal,Spain,DEF,"1,533"
Laurent Koscielny,Arsenal,France,DEF,"1,330"
Stephan Lichtsteiner,Arsenal,Switzerland,DEF,940
Rob Holding,Arsenal,England,DEF,807
Carl Jenkinson,Arsenal,England,DEF,165
Konstantinos Mavropanos,Arsenal,Greece,DEF,149
Lewis Dunk,Brighton and Hove Albion,England,DEF,"3,153"
Shane Duffy,Brighton and Hove Albion,Ireland,DEF,"3,088"
Martín Montoya,Brighton and Hove Albion,Spain,DEF,"2,166"
Gaëtan Bong,Brighton and Hove Albion,Cameroon,DEF,"1,805"
Bernardo,Brighton and Hove Albion,Brazil,DEF,"1,750"
Bruno,Brighton and Hove Albion,Spain,DEF,"1,136"
Leon Balogun,Brighton and Hove Albion,Nigeria,DEF,591
Ben Mee,Burnley,England,DEF,"3,420"
Charlie Taylor,Burnley,England,DEF,"3,240"
James Tarkowski,Burnley,England,DEF,"3,087"
Matthew Lowton,Burnley,England,DEF,"1,748"
Phil Bardsley,Burnley,Scotland,DEF,"1,672"
Kevin Long,Burnley,Ireland,DEF,513
Stephen Ward,Burnley,Ireland,DEF,230
Ben Gibson,Burnley,England,DEF,63
Bruno Ecuele Manga,Cardiff City,Gabon,DEF,"3,375"
Sean Morrison,Cardiff City,England,DEF,"3,040"
Joe Bennett,Cardiff City,England,DEF,"2,641"
Sol Bamba,Cardiff City,Cote D'Ivoire,DEF,"2,475"
Callum Paterson,Cardiff City,Scotland,DEF,"1,996"
Lee Peltier,Cardiff City,England,DEF,"1,543"
Greg Cunningham,Cardiff City,Ireland,DEF,630
Jazz Richards,Cardiff City,Wales,DEF,129
César Azpilicueta,Chelsea,Spain,DEF,"3,403"
David Luiz,Chelsea,Brazil,DEF,"3,239"
Antonio Rüdiger,Chelsea,Germany,DEF,"2,874"
Marcos Alonso,Chelsea,Spain,DEF,"2,761"
Emerson,Chelsea,Italy,DEF,660
Andreas Christensen,Chelsea,Denmark,DEF,615
Davide Zappacosta,Chelsea,Italy,DEF,125
Gary Cahill,Chelsea,England,DEF,22
Patrick van Aanholt,Crystal Palace,Netherlands,DEF,"3,197"
James Tomkins,Crystal Palace,England,DEF,"2,562"
Mamadou Sakho,Crystal Palace,France,DEF,"2,417"
Jeffrey Schlupp,Crystal Palace,Ghana,DEF,"1,665"
Martin Kelly,Crystal Palace,England,DEF,"1,110"
Scott Dann,Crystal Palace,England,DEF,661
Joel Ward,Crystal Palace,England,DEF,551
Pape Souaré,Crystal Palace,Senegal,DEF,1
Michael Keane,Everton,England,DEF,"2,969"
Lucas Digne,Everton,France,DEF,"2,966"
Kurt Zouma,Everton,France,DEF,"2,612"
Seamus Coleman,Everton,Ireland,DEF,"2,560"
Yerry Mina,Everton,Colombia,DEF,892
Jonjoe Kenny,Everton,England,DEF,790
Mason Holgate,Everton,England,DEF,407
Leighton Baines,Everton,England,DEF,376
Phil Jagielka,Everton,England,DEF,330
Denis Odoi,Fulham,Belgium,DEF,"2,594"
Calum Chambers,Fulham,England,DEF,"2,586"
Joe Bryan,Fulham,England,DEF,"2,347"
Maxime Le Marchand,Fulham,France,DEF,"2,252"
Tim Ream,Fulham,United States,DEF,"2,049"
Cyrus Christie,Fulham,Ireland,DEF,"1,945"
Alfie Mawson,Fulham,England,DEF,"1,130"
Timothy Fosu-Mensah,Fulham,Netherlands,DEF,794
Håvard Nordtveit,Fulham,Norway,DEF,361
Neeskens Kebano,Fulham,The Democratic Republic Of Congo,DEF,103
Christopher Schindler,Huddersfield Town,Germany,DEF,"3,262"
Terence Kongolo,Huddersfield Town,Netherlands,DEF,"2,721"
Zanka,Huddersfield Town,Denmark,DEF,"2,148"
Chris Löwe,Huddersfield Town,Germany,DEF,"2,056"
Erik Durm,Huddersfield Town,Germany,DEF,"2,052"
Florent Hadergjonaj,Huddersfield Town,Switzerland,DEF,"1,840"
Tommy Smith,Huddersfield Town,England,DEF,"1,142"
Jon Gorenc Stankovic,Huddersfield Town,Slovenia,DEF,719
Demeaco Duhaney,Huddersfield Town,England,DEF,45
Ben Chilwell,Leicester City,England,DEF,"3,240"
Ricardo Pereira,Leicester City,Portugal,DEF,"3,125"
Harry Maguire,Leicester City,England,DEF,"2,599"
Jonny Evans,Leicester City,Northern Ireland,DEF,"1,994"
Wes Morgan,Leicester City,Jamaica,DEF,"1,926"
Çaglar Söyüncü,Leicester City,Turkey,DEF,372
Danny Simpson,Leicester City,England,DEF,291
Christian Fuchs,Leicester City,Austria,DEF,206
Virgil van Dijk,Liverpool,Netherlands,DEF,"3,385"
Andrew Robertson,Liverpool,Scotland,DEF,"3,219"
Trent Alexander-Arnold,Liverpool,England,DEF,"2,466"
Joel Matip,Liverpool,Cameroon,DEF,"1,535"
