player,club,nationality,position,touches
Nathan Aké,AFC Bournemouth,Netherlands,DEF,2243
Steve Cook,AFC Bournemouth,England,DEF,2032
Adam Smith,AFC Bournemouth,England,DEF,1439
Charlie Daniels,AFC Bournemouth,England,DEF,1236
Simon Francis,AFC Bournemouth,England,DEF,1014
Nathaniel Clyne,AFC Bournemouth,England,DEF,740
Chris Mepham,AFC Bournemouth,Wales,DEF,532
Diego Rico,AFC Bournemouth,Spain,DEF,498
Jack Simpson,AFC Bournemouth,England,DEF,310
Tyrone Mings,AFC Bournemouth,England,DEF,125
Shkodran Mustafi,Arsenal,Germany,DEF,2223
Sokratis,Arsenal,Greece,DEF,1699
Nacho Monreal,Arsenal,Spain,DEF,1580
Sead Kolasinac,Arsenal,Bosnia And Herzegovina,DEF,1469
Héctor Bellerín,Arsenal,Spain,DEF,1159
Laurent Koscielny,Arsenal,France,DEF,1082
Rob Holding,Arsenal,England,DEF,724
Stephan Lichtsteiner,Arsenal,Switzerland,DEF,718
Konstantinos Mavropanos,Arsenal,Greece,DEF,158
Carl Jenkinson,Arsenal,England,DEF,111
Lewis Dunk,Brighton and Hove Albion,England,DEF,1963
Shane Duffy,Brighton and Hove Albion,Ireland,DEF,1805
Martín Montoya,Brighton and Hove Albion,Spain,DEF,1482
Bernardo,Brighton and Hove Albion,Brazil,DEF,1364
Gaëtan Bong,Brighton and Hove Albion,Cameroon,DEF,1109
Bruno,Brighton and Hove Albion,Spain,DEF,755
Leon Balogun,Brighton and Hove Albion,Nigeria,DEF,308
Charlie Taylor,Burnley,England,DEF,2285
Ben Mee,Burnley,England,DEF,2037
James Tarkowski,Burnley,England,DEF,1731
Matthew Lowton,Burnley,England,DEF,1199
Phil Bardsley,Burnley,Scotland,DEF,1021
Kevin Long,Burnley,Ireland,DEF,254
Stephen Ward,Burnley,Ireland,DEF,178
Ben Gibson,Burnley,England,DEF,39
Bruno Ecuele Manga,Cardiff City,Gabon,DEF,1609
Sean Morrison,Cardiff City,England,DEF,1388
Joe Bennett,Cardiff City,England,DEF,1313
Sol Bamba,Cardiff City,Cote D'Ivoire,DEF,1083
Callum Paterson,Cardiff City,Scotland,DEF,856
Lee Peltier,Cardiff City,England,DEF,623
Greg Cunningham,Cardiff City,Ireland,DEF,309
Jazz Richards,Cardiff City,Wales,DEF,51
César Azpilicueta,Chelsea,Spain,DEF,3419
David Luiz,Chelsea,Brazil,DEF,3042
Antonio Rüdiger,Chelsea,Germany,DEF,2846
Marcos Alonso,Chelsea,Spain,DEF,2747
Emerson,Chelsea,Italy,DEF,625
Andreas Christensen,Chelsea,Denmark,DEF,523
Davide Zappacosta,Chelsea,Italy,DEF,113
Gary Cahill,Chelsea,England,DEF,19
Patrick van Aanholt,Crystal Palace,Netherlands,DEF,2388
Mamadou Sakho,Crystal Palace,France,DEF,1632
James Tomkins,Crystal Palace,England,DEF,1481
Jeffrey Schlupp,Crystal Palace,Ghana,DEF,967
Martin Kelly,Crystal Palace,England,DEF,525
Scott Dann,Crystal Palace,England,DEF,360
Joel Ward,Crystal Palace,England,DEF,343
Pape Souaré,Crystal Palace,Senegal,DEF,5
Lucas Digne,Everton,France,DEF,2627
Michael Keane,Everton,England,DEF,2016
Seamus Coleman,Everton,Ireland,DEF,1988
Kurt Zouma,Everton,France,DEF,1826
Jonjoe Kenny,Everton,England,DEF,710
Yerry Mina,Everton,Colombia,DEF,620
Mason Holgate,Everton,England,DEF,311
Leighton Baines,Everton,England,DEF,297
Phil Jagielka,Everton,England,DEF,228
Calum Chambers,Fulham,England,DEF,1983
Denis Odoi,Fulham,Belgium,DEF,1871
Maxime Le Marchand,Fulham,France,DEF,1839
Joe Bryan,Fulham,England,DEF,1672
Cyrus Christie,Fulham,Ireland,DEF,1578
Tim Ream,Fulham,United States,DEF,1263
Alfie Mawson,Fulham,England,DEF,628
Timothy Fosu-Mensah,Fulham,Netherlands,DEF,586
Håvard Nordtveit,Fulham,Norway,DEF,272
Neeskens Kebano,Fulham,The Democratic Republic Of Congo,DEF,56
Christopher Schindler,Huddersfield Town,Germany,DEF,1974
Terence Kongolo,Huddersfield Town,Netherlands,DEF,1691
Zanka,Huddersfield Town,Denmark,DEF,1488
Erik Durm,Huddersfield Town,Germany,DEF,1372
Chris Löwe,Huddersfield Town,Germany,DEF,1343
Florent Hadergjonaj,Huddersfield Town,Switzerland,DEF,1190
Tommy Smith,Huddersfield Town,England,DEF,744
Jon Gorenc Stankovic,Huddersfield Town,Slovenia,DEF,413
Demeaco Duhaney,Huddersfield Town,England,DEF,40
Ben Chilwell,Leicester City,England,DEF,2865
Ricardo Pereira,Leicester City,Portugal,DEF,2679
Harry Maguire,Leicester City,England,DEF,2137
Jonny Evans,Leicester City,Northern Ireland,DEF,1341
Wes Morgan,Leicester City,Jamaica,DEF,1167
Çaglar Söyüncü,Leicester City,Turkey,DEF,279
Danny Simpson,Leicester City,England,DEF,204
Christian Fuchs,Leicester City,Austria,DEF,190
Virgil van Dijk,Liverpool,Netherlands,DEF,3471
Andrew Robertson,Liverpool,Scotland,DEF,3223
Trent Alexander-Arnold,Liverpool,England,DEF,2575
Joel Matip,Liverpool,Cameroon,DEF,1576
Joseph Gomez,Liverpool,England,DEF,964
Dejan Lovren,Liverpool,Croatia,DEF,957
Alberto Moreno,Liverpool,Spain,DEF,141
Nathaniel Clyne,Liverpool,England,DEF,105
Aymeric Laporte,Manchester City,France,DEF,3354
Kyle Walker,Manchester City,England,DEF,2957
John Stones,Manchester City,England,DEF,1915
Nicolás Otamendi,Manchester City,Argentina,DEF,1405
Vincent Kompany,Manchester City,Belgium,DEF,1356
Danilo,Manchester City,Brazil,DEF,1004
Benjamin Mendy,Manchester City,France,DEF,926
Fabian Delph,Manchester City,England,DEF,865
Luke Shaw,Manchester United,England,DEF,2389
Ashley Young,Manchester United,England,DEF,2287
Victor Lindelöf,Manchester United,Sweden,DEF,1794
Chris Smalling,Manchester United,England,DEF,1232
Phil Jones,Manchester United,England,DEF,938
Diogo Dalot,Manchester United,Portugal,DEF,721
Eric Bailly,Manchester United,Cote D'Ivoire,DEF,406
Antonio Valencia,Manchester United,Ecuador,DEF,374
Matteo Darmian,Manchester United,Italy,DEF,280
Marcos Rojo,Manchester United,Argentina,DEF,174
Jamaal Lascelles,Newcastle United,England,DEF,1524
Fabian Schär,Newcastle United,Switzerland,DEF,1467
DeAndre Yedlin,Newcastle United,United States,DEF,1443
Paul Dummett,Newcastle United,Wales,DEF,1193
Federico Fernández,Newcastle United,Argentina,DEF,834
Florian Lejeune,Newcastle United,France,DEF,726
Javier Manquillo,Newcastle United,Spain,DEF,702
Ciaran Clark,Newcastle United,Ireland,DEF,441
Antonio Barreca,Newcastle United,Italy,DEF,3
Ryan Bertrand,Southampton,England,DEF,1387
Jan Bednarek,Southampton,Poland,DEF,1276
Jannik Vestergaard,Southampton,Denmark,DEF,1263
Jack Stephens,Southampton,England,DEF,1048
Cédric Soares,Southampton,Portugal,DEF,1000
Yan Valery,Southampton,France,DEF,931
Matt Targett,Southampton,England,DEF,837
Wesley Hoedt,Southampton,Netherlands,DEF,831
Maya Yoshida,Southampton,Japan,DEF,795
Kayne Ramsay,Southampton,England,DEF,28
Toby Alderweireld,Tottenham Hotspur,Belgium,DEF,2719
Kieran Trippier,Tottenham Hotspur,England,DEF,2343
Jan Vertonghen,Tottenham Hotspur,Belgium,DEF,1836
Davinson Sánchez,Tottenham Hotspur,Colombia,DEF,1699
Ben Davies,Tottenham Hotspur,Wales,DEF,1602
Danny Rose,Tottenham Hotspur,England,DEF,1569
Juan Foyth,Tottenham Hotspur,Argentina,DEF,779
Serge Aurier,Tottenham Hotspur,Cote D'Ivoire,DEF,456
Kyle Walker-Peters,Tottenham Hotspur,England,DEF,288
José Holebas,Watford,Greece,DEF,1742
Craig Cathcart,Watford,Northern Ireland,DEF,1675
Kiko Femenía,Watford,Spain,DEF,1464
Adrian Mariappa,Watford,Jamaica,DEF,1138
Daryl Janmaat,Watford,Netherlands,DEF,1032
Christian Kabasele,Watford,Belgium,DEF,807
Adam Masina,Watford,Italy,DEF,731
Miguel Britos,Watford,Uruguay,DEF,86
Marc Navarro,Watford,Spain,DEF,45
Ben Wilmot,Watford,England,DEF,13
Sebastian Prödl,Watford,Austria,DEF,3
Declan Rice,West Ham United,England,DEF,1942
Issa Diop,West Ham United,France,DEF,1591
Pablo Zabaleta,West Ham United,Argentina,DEF,1501
Arthur Masuaku,West Ham United,The Democratic Republic Of Congo,DEF,1437
Aaron Cresswell,West Ham United,England,DEF,1314
Fabián Balbuena,West Ham United,Paraguay,DEF,1185
Angelo Ogbonna,West Ham United,Italy,DEF,1059
Ryan Fredericks,West Ham United,England,DEF,736
Matt Doherty,Wolverhampton Wanderers,Ireland,DEF,2374
Willy Boly,Wolverhampton Wanderers,France,DEF,2236
Jonny,Wolverhampton Wanderers,Spain,DEF,1916
Ryan Bennett,Wolverhampton Wanderers,England,DEF,1754
Rúben Vinagre,Wolverhampton Wanderers,Portugal,DEF,555
